month,negative_tweets,positive_tweets,total_tweets,negative percentage,positive percentage
01-2020,2746,894,3640,75.44,24.56
02-2020,3370,1134,4504,74.82,25.18
03-2020,13.786,9.161,22.947,60.08,59.92
04-2020,21.837,12.457,37.294,58.55,41.45
05-2020,22.784,11.457,34.241,66.54,43.46
06-2020,15.185,8.365,23.550,64.48,35.52
07-2020,19.080,10.478,29.558,64.55,35.45
08-2020,14.947,8.069,23.016,64.94,35.06
09-2020,11.875,5.754,17.629,67.36,33.64
10-2020,12.566,6.632,19.198,65.45,34.55
11-2020,12.054,7.474,19.528,61.73,38.27
12-2020,15.441,9.438,24.879,62.06,37.94
01-2021,7.778,4.363,12.141,64.06,35.94
02-2021,5.903,3.390,9.293,63.52,36.48
03-2021,5.706,3.360,9.066,62.94,37.06
,185058,102426,290484,,
