month,negative_tweets,positive_tweets,total_tweets,negative_percentage,positive_percentage
01-2020,2746,894,3640,75.44,24.56
02-2020,3370,1134,4504,74.82,25.18
03-2020,13786,9161,22947,60.08,59.92
04-2020,21837,12457,37294,58.55,41.45
05-2020,22784,11457,34241,66.54,43.46
06-2020,15185,8365,23550,64.48,35.52
07-2020,19080,10478,29558,64.55,35.45
08-2020,14947,8069,23016,64.94,35.06
09-2020,11875,5754,17629,67.36,33.64
10-2020,12566,6632,19198,65.45,34.55
11-2020,12054,7474,19528,61.73,38.27
12-2020,15441,9438,24879,62.06,37.94
01-2021,7778,4363,12141,64.06,35.94
02-2021,5903,3390,9293,63.52,36.48
03-2021,5706,3360,9066,62.94,37.06
